eDNA.sample,Station,stop,bottom.depth.consensus,CTD_Cast,Thermocline_depth,Thermocline_strength,Transect,position,depth,lat,lon,Openness,groups,Distance_to_thermocline,Distance_to_seafloor
58,26-1,1,67.37,88,17.004,0.0944372929470294,26,seafloor,50,38.56360833,-123.3499667,Onshore,Mixed,32.995999999999995,17.370000000000005
59,26-1,1,67.37,88,17.004,0.0944372929470294,26,seafloor,50,38.56360833,-123.3499667,Onshore,Mixed,32.995999999999995,17.370000000000005
60,26-1,1,67.37,88,17.004,0.0944372929470294,26,below,25,38.56360833,-123.3499667,Onshore,Mixed,7.995999999999999,42.370000000000005
61,26-1,1,67.37,88,17.004,0.0944372929470294,26,below,25,38.56360833,-123.3499667,Onshore,Mixed,7.995999999999999,42.370000000000005
62,26-1,1,67.37,88,17.004,0.0944372929470294,26,above,0,38.56360833,-123.3499667,Onshore,Mixed,-17.004,67.37
63,26-1,1,67.37,88,17.004,0.0944372929470294,26,above,0,38.56360833,-123.3499667,Onshore,Mixed,-17.004,67.37
64,26-2,2,219.43,89,29.848,1.3131112152016478,26,seafloor,150,38.56174167,-123.6588383,Mid,Mixed,120.152,69.43
65,26-2,2,219.43,89,29.848,1.3131112152016478,26,seafloor,150,38.56174167,-123.6588383,Mid,Mixed,120.152,69.43
68,26-2,2,219.43,89,29.848,1.3131112152016478,26,below,50,38.56174167,-123.6588383,Mid,Mixed,20.152,169.43
69,26-2,2,219.43,89,29.848,1.3131112152016478,26,below,50,38.56174167,-123.6588383,Mid,Mixed,20.152,169.43
70,26-2,2,219.43,89,29.848,1.3131112152016478,26,above,0,38.56174167,-123.6588383,Mid,Mixed,-29.848,219.43
71,26-2,2,219.43,89,29.848,1.3131112152016478,26,above,0,38.56174167,-123.6588383,Mid,Mixed,-29.848,219.43
72,26-3,3,2294,90,31.979,1.868774734400372,26,below,500,38.56264167,-123.9785983,Mid,Stratified,468.021,1794
73,26-3,3,2294,90,31.979,1.868774734400372,26,below,500,38.56264167,-123.9785983,Mid,Stratified,468.021,1794
80,26-3,3,2294,90,31.979,1.868774734400372,26,below,50,38.56264167,-123.9785983,Mid,Stratified,18.021,2244
81,26-3,3,2294,90,31.979,1.868774734400372,26,below,50,38.56264167,-123.9785983,Mid,Stratified,18.021,2244
83,26-3,3,2294,90,31.979,1.868774734400372,26,above,0,38.56264167,-123.9785983,Mid,Stratified,-31.979,2294
282,35-1,1,57.38,114,9.717,1.749027672501267,35,seafloor,48,40.065505,-124.1372783,Onshore,Stratified,38.283,9.380000000000003
283,35-1,1,57.38,114,9.717,1.749027672501267,35,seafloor,48,40.065505,-124.1372783,Onshore,Stratified,38.283,9.380000000000003
284,35-1,1,57.38,114,9.717,1.749027672501267,35,below,25,40.065505,-124.1372783,Onshore,Stratified,15.283,32.38
285,35-1,1,57.38,114,9.717,1.749027672501267,35,below,25,40.065505,-124.1372783,Onshore,Stratified,15.283,32.38
286,35-1,1,57.38,114,9.717,1.749027672501267,35,above,0,40.065505,-124.1372783,Onshore,Stratified,-9.717,57.38
287,35-1,1,57.38,114,9.717,1.749027672501267,35,above,0,40.065505,-124.1372783,Onshore,Stratified,-9.717,57.38
334,35-11,11,1408.93,119,10.026,0.5247879334619601,35,below,500,40.06377,-125.0781317,Offshore,Mixed,489.974,908.9300000000001
335,35-11,11,1408.93,119,10.026,0.5247879334619601,35,below,500,40.06377,-125.0781317,Offshore,Mixed,489.974,908.9300000000001
342,35-11,11,1408.93,119,10.026,0.5247879334619601,35,below,50,40.06377,-125.0781317,Offshore,Mixed,39.974000000000004,1358.93
343,35-11,11,1408.93,119,10.026,0.5247879334619601,35,below,50,40.06377,-125.0781317,Offshore,Mixed,39.974000000000004,1358.93
344,35-11,11,1408.93,119,10.026,0.5247879334619601,35,above,0,40.06377,-125.0781317,Offshore,Mixed,-10.026,1408.93
345,35-11,11,1408.93,119,10.026,0.5247879334619601,35,above,0,40.06377,-125.0781317,Offshore,Mixed,-10.026,1408.93
310,35-7,7,913.3,117,57.215,0.18793411279563443,35,seafloor,500,40.06181,-124.6436167,Mid,Mixed,442.78499999999997,413.29999999999995
311,35-7,7,913.3,117,57.215,0.18793411279563443,35,seafloor,500,40.06181,-124.6436167,Mid,Mixed,442.78499999999997,413.29999999999995
318,35-7,7,913.3,117,57.215,0.18793411279563443,35,above,50,40.06181,-124.6436167,Mid,Mixed,-7.215000000000003,863.3
319,35-7,7,913.3,117,57.215,0.18793411279563443,35,above,50,40.06181,-124.6436167,Mid,Mixed,-7.215000000000003,863.3
320,35-7,7,913.3,117,57.215,0.18793411279563443,35,above,0,40.06181,-124.6436167,Mid,Mixed,-57.215,913.3
321,35-7,7,913.3,117,57.215,0.18793411279563443,35,above,0,40.06181,-124.6436167,Mid,Mixed,-57.215,913.3
456,39-1,1,52.49,130,9.891,2.2772992874951647,39,seafloor,42,40.72985,-124.3734867,Onshore,Stratified,32.109,10.490000000000002
457,39-1,1,52.49,130,9.891,2.2772992874951647,39,seafloor,42,40.72985,-124.3734867,Onshore,Stratified,32.109,10.490000000000002
458,39-1,1,52.49,130,9.891,2.2772992874951647,39,below,25,40.72985,-124.3734867,Onshore,Stratified,15.109,27.490000000000002
459,39-1,1,52.49,130,9.891,2.2772992874951647,39,below,25,40.72985,-124.3734867,Onshore,Stratified,15.109,27.490000000000002
462,39-1,1,52.49,130,9.891,2.2772992874951647,39,above,0,40.72985,-124.3734867,Onshore,Stratified,-9.891,52.49
463,39-1,1,52.49,130,9.891,2.2772992874951647,39,above,0,40.72985,-124.3734867,Onshore,Stratified,-9.891,52.49
478,39-5,5,863.22,133,14.489,0.6857239504063912,39,seafloor,500,40.73091833,-124.6617817,Mid,Mixed,485.511,363.22
479,39-5,5,863.22,133,14.489,0.6857239504063912,39,seafloor,500,40.73091833,-124.6617817,Mid,Mixed,485.511,363.22
486,39-5,5,863.22,133,14.489,0.6857239504063912,39,below,50,40.73091833,-124.6617817,Mid,Mixed,35.510999999999996,813.22
487,39-5,5,863.22,133,14.489,0.6857239504063912,39,below,50,40.73091833,-124.6617817,Mid,Mixed,35.510999999999996,813.22
488,39-5,5,863.22,133,14.489,0.6857239504063912,39,above,0,40.73091833,-124.6617817,Mid,Mixed,-14.489,863.22
489,39-5,5,863.22,133,14.489,0.6857239504063912,39,above,0,40.73091833,-124.6617817,Mid,Mixed,-14.489,863.22
502,39-9,9,2697.91,135,21.439,1.1723950643711358,39,below,500,40.72901667,-125.1001667,Mid,Mixed,478.561,2197.91
503,39-9,9,2697.91,135,21.439,1.1723950643711358,39,below,500,40.72901667,-125.1001667,Mid,Mixed,478.561,2197.91
510,39-9,9,2697.91,135,21.439,1.1723950643711358,39,below,50,40.72901667,-125.1001667,Mid,Mixed,28.561,2647.91
511,39-9,9,2697.91,135,21.439,1.1723950643711358,39,below,50,40.72901667,-125.1001667,Mid,Mixed,28.561,2647.91
512,39-9,9,2697.91,135,21.439,1.1723950643711358,39,above,0,40.72901667,-125.1001667,Mid,Mixed,-21.439,2697.91
513,39-9,9,2697.91,135,21.439,1.1723950643711358,39,above,0,40.72901667,-125.1001667,Mid,Mixed,-21.439,2697.91
779,53-1,1,49.6,168,5.24,0.2196445936811635,53,seafloor,40,43.06397667,-124.480865,Onshore,Mixed,34.76,9.600000000000001
780,53-1,1,49.6,168,5.24,0.2196445936811635,53,seafloor,40,43.06397667,-124.480865,Onshore,Mixed,34.76,9.600000000000001
793,53-3,3,291.25,170,12.379,1.9610300820039868,53,seafloor,280,43.0648,-124.87498,Mid,Stratified,267.621,11.25
794,53-3,3,291.25,170,12.379,1.9610300820039868,53,seafloor,280,43.0648,-124.87498,Mid,Stratified,267.621,11.25
799,53-3,3,291.25,170,12.379,1.9610300820039868,53,below,50,43.0648,-124.87498,Mid,Stratified,37.621,241.25
800,53-3,3,291.25,170,12.379,1.9610300820039868,53,below,50,43.0648,-124.87498,Mid,Stratified,37.621,241.25
801,53-3,3,291.25,170,12.379,1.9610300820039868,53,above,0,43.0648,-124.87498,Mid,Stratified,-12.379,291.25
802,53-3,3,291.25,170,12.379,1.9610300820039868,53,above,0,43.0648,-124.87498,Mid,Stratified,-12.379,291.25
839,53-7,7,2542,174,18.047,0.9367937500670768,53,below,500,43.06521333,-125.248965,Mid,Mixed,481.953,2042
840,53-7,7,2542,174,18.047,0.9367937500670768,53,below,500,43.06521333,-125.248965,Mid,Mixed,481.953,2042
848,53-7,7,2542,174,18.047,0.9367937500670768,53,below,50,43.06521333,-125.248965,Mid,Mixed,31.953,2492
1001,60-1,1,65,190,4.888,2.56248480845988,60,seafloor,60,44.23212833,-124.247595,Onshore,Stratified,55.112,5
1002,60-1,1,65,190,4.888,2.56248480845988,60,seafloor,60,44.23212833,-124.247595,Onshore,Stratified,55.112,5
1003,60-1,1,65,190,4.888,2.56248480845988,60,seafloor,50,44.23212833,-124.247595,Onshore,Stratified,45.112,15
1004,60-1,1,65,190,4.888,2.56248480845988,60,seafloor,50,44.23212833,-124.247595,Onshore,Stratified,45.112,15
1005,60-1,1,65,190,4.888,2.56248480845988,60,below,25,44.23212833,-124.247595,Onshore,Stratified,20.112000000000002,40
995,60-2,2,101,189,5.378,2.527547415424337,60,seafloor,86,44.23054833,-124.5392983,Mid,Stratified,80.622,15
996,60-2,2,101,189,5.378,2.527547415424337,60,seafloor,86,44.23054833,-124.5392983,Mid,Stratified,80.622,15
997,60-2,2,101,189,5.378,2.527547415424337,60,below,50,44.23054833,-124.5392983,Mid,Stratified,44.622,51
998,60-2,2,101,189,5.378,2.527547415424337,60,below,50,44.23054833,-124.5392983,Mid,Stratified,44.622,51
999,60-2,2,101,189,5.378,2.527547415424337,60,above,0,44.23054833,-124.5392983,Mid,Stratified,-5.378,101
977,60-4,4,1529.5,187,12.987,2.5415350854100875,60,below,500,44.23039833,-125.1583233,Mid,Stratified,487.013,1029.5
978,60-4,4,1529.5,187,12.987,2.5415350854100875,60,below,500,44.23039833,-125.1583233,Mid,Stratified,487.013,1029.5
985,60-4,4,1529.5,187,12.987,2.5415350854100875,60,below,50,44.23039833,-125.1583233,Mid,Stratified,37.013,1479.5
986,60-4,4,1529.5,187,12.987,2.5415350854100875,60,below,50,44.23039833,-125.1583233,Mid,Stratified,37.013,1479.5
987,60-4,4,1529.5,187,12.987,2.5415350854100875,60,above,0,44.23039833,-125.1583233,Mid,Stratified,-12.987,1529.5
988,60-4,4,1529.5,187,12.987,2.5415350854100875,60,above,0,44.23039833,-125.1583233,Mid,Stratified,-12.987,1529.5
1205,67-1,1,55.03,215,3.742,3.977844308488842,67,seafloor,45,45.39631833,-124.0406283,Onshore,Stratified,41.258,10.030000000000001
1206,67-1,1,55.03,215,3.742,3.977844308488842,67,seafloor,45,45.39631833,-124.0406283,Onshore,Stratified,41.258,10.030000000000001
1207,67-1,1,55.03,215,3.742,3.977844308488842,67,below,25,45.39631833,-124.0406283,Onshore,Stratified,21.258,30.03
1208,67-1,1,55.03,215,3.742,3.977844308488842,67,below,25,45.39631833,-124.0406283,Onshore,Stratified,21.258,30.03
1210,67-1,1,55.03,215,3.742,3.977844308488842,67,above,0,45.39631833,-124.0406283,Onshore,Stratified,-3.742,55.03
1219,67-3,3,304.03,217,13.44,1.872793611648401,67,seafloor,291,45.39612167,-124.4226133,Mid,Stratified,277.56,13.029999999999973
1220,67-3,3,304.03,217,13.44,1.872793611648401,67,seafloor,291,45.39612167,-124.4226133,Mid,Stratified,277.56,13.029999999999973
1225,67-3,3,304.03,217,13.44,1.872793611648401,67,below,50,45.39612167,-124.4226133,Mid,Stratified,36.56,254.02999999999997
1228,67-3,3,304.03,217,13.44,1.872793611648401,67,above,0,45.39612167,-124.4226133,Mid,Stratified,-13.44,304.03
1265,67-7,7,1471.47,221,16.202,1.6863100091911782,67,below,500,45.398275,-125.0283033,Mid,Mixed,483.798,971.47
1266,67-7,7,1471.47,221,16.202,1.6863100091911782,67,below,500,45.398275,-125.0283033,Mid,Mixed,483.798,971.47
1273,67-7,7,1471.47,221,16.202,1.6863100091911782,67,below,50,45.398275,-125.0283033,Mid,Mixed,33.798,1421.47
1274,67-7,7,1471.47,221,16.202,1.6863100091911782,67,below,50,45.398275,-125.0283033,Mid,Mixed,33.798,1421.47
1535,77-1,1,53.05,247,6.477,5.098723024160524,77,above,0,47.063255,-124.396465,Onshore,Stratified,-6.477,53.05
1537,77-1,1,53.05,247,6.477,5.098723024160524,77,seafloor,50,47.063255,-124.396465,Onshore,Stratified,43.522999999999996,3.049999999999997
1538,77-1,1,53.05,247,6.477,5.098723024160524,77,seafloor,50,47.063255,-124.396465,Onshore,Stratified,43.522999999999996,3.049999999999997
1539,77-1,1,53.05,247,6.477,5.098723024160524,77,below,25,47.063255,-124.396465,Onshore,Stratified,18.523,28.049999999999997
1540,77-1,1,53.05,247,6.477,5.098723024160524,77,below,25,47.063255,-124.396465,Onshore,Stratified,18.523,28.049999999999997
1541,77-2,2,153.87,248,6.721,2.4562167556527417,77,above,0,47.06391667,-124.8705967,Mid,Stratified,-6.721,153.87
1543,77-2,2,153.87,248,6.721,2.4562167556527417,77,seafloor,143,47.06391667,-124.8705967,Mid,Stratified,136.279,10.870000000000005
1544,77-2,2,153.87,248,6.721,2.4562167556527417,77,seafloor,143,47.06391667,-124.8705967,Mid,Stratified,136.279,10.870000000000005
1547,77-2,2,153.87,248,6.721,2.4562167556527417,77,below,50,47.06391667,-124.8705967,Mid,Stratified,43.278999999999996,103.87
1548,77-2,2,153.87,248,6.721,2.4562167556527417,77,below,50,47.06391667,-124.8705967,Mid,Stratified,43.278999999999996,103.87
1573,77-6,6,1482,251,15.349,2.30416231937145,77,above,0,47.06442,-125.2157667,Mid,Stratified,-15.349,1482
1574,77-6,6,1482,251,15.349,2.30416231937145,77,above,0,47.06442,-125.2157667,Mid,Stratified,-15.349,1482
1575,77-6,6,1482,251,15.349,2.30416231937145,77,below,500,47.06442,-125.2157667,Mid,Stratified,484.651,982
1719,81-1,1,53.73,264,3.622,-0.00571215039052397,81,above,0,47.72953333,-124.680385,Onshore,Mixed,-3.622,53.73
1723,81-1,1,53.73,264,3.622,-0.00571215039052397,81,below,25,47.72953333,-124.680385,Onshore,Mixed,21.378,28.729999999999997
1725,81-1,1,53.73,264,3.622,-0.00571215039052397,81,above,3,47.72953333,-124.680385,Onshore,Mixed,-0.6219999999999999,50.73
1755,81-5,5,782.83,267,11.516,2.261562061785522,81,below,50,47.73109333,-125.2471967,Mid,Stratified,38.484,732.83
1756,81-5,5,782.83,267,11.516,2.261562061785522,81,below,50,47.73109333,-125.2471967,Mid,Stratified,38.484,732.83
1769,81-9,9,1121.42,269,22.98,1.5893634549153841,81,above,0,47.73233,-125.742555,Mid,Mixed,-22.98,1121.42
1770,81-9,9,1121.42,269,22.98,1.5893634549153841,81,above,0,47.73233,-125.742555,Mid,Mixed,-22.98,1121.42
1779,81-9,9,1121.42,269,22.98,1.5893634549153841,81,below,50,47.73233,-125.742555,Mid,Mixed,27.02,1071.42
1780,81-9,9,1121.42,269,22.98,1.5893634549153841,81,below,50,47.73233,-125.742555,Mid,Mixed,27.02,1071.42
