eDNA.sample,Transect,position,depth,lat,lon
58,26,1,50,38.56360833,-123.3499667
59,26,1,50,38.56360833,-123.3499667
60,26,1,25,38.56360833,-123.3499667
61,26,1,25,38.56360833,-123.3499667
62,26,1,sfc,38.56360833,-123.3499667
63,26,1,sfc,38.56360833,-123.3499667
64,26,2,150,38.56174167,-123.6588383
65,26,2,150,38.56174167,-123.6588383
66,26,2,100,38.56174167,-123.6588383
67,26,2,100,38.56174167,-123.6588383
68,26,2,50,38.56174167,-123.6588383
69,26,2,50,38.56174167,-123.6588383
70,26,2,sfc,38.56174167,-123.6588383
71,26,2,sfc,38.56174167,-123.6588383
72,26,3,500,38.56264167,-123.9785983
73,26,3,500,38.56264167,-123.9785983
74,26,3,300,38.56264167,-123.9785983
75,26,3,300,38.56264167,-123.9785983
76,26,3,150,38.56264167,-123.9785983
77,26,3,150,38.56264167,-123.9785983
78,26,3,100,38.56264167,-123.9785983
79,26,3,100,38.56264167,-123.9785983
80,26,3,50,38.56264167,-123.9785983
81,26,3,50,38.56264167,-123.9785983
82,26,3,sfc,38.56264167,-123.9785983
83,26,3,sfc,38.56264167,-123.9785983
282,35,1,48,40.065505,-124.1372783
283,35,1,48,40.065505,-124.1372783
284,35,1,25,40.065505,-124.1372783
285,35,1,25,40.065505,-124.1372783
286,35,1,sfc,40.065505,-124.1372783
287,35,1,sfc,40.065505,-124.1372783
288,35,3,300,40.06306,-124.2782183
289,35,3,300,40.06306,-124.2782183
290,35,3,150,40.06306,-124.2782183
291,35,3,150,40.06306,-124.2782183
292,35,3,100,40.06306,-124.2782183
293,35,3,100,40.06306,-124.2782183
294,35,3,50,40.06306,-124.2782183
295,35,3,50,40.06306,-124.2782183
296,35,3,sfc,40.06306,-124.2782183
297,35,3,sfc,40.06306,-124.2782183
298,35,5,500,40.06066,-124.421245
299,35,5,500,40.06066,-124.421245
300,35,5,300,40.06066,-124.421245
301,35,5,300,40.06066,-124.421245
302,35,5,150,40.06066,-124.421245
303,35,5,150,40.06066,-124.421245
304,35,5,100,40.06066,-124.421245
305,35,5,100,40.06066,-124.421245
306,35,5,50,40.06066,-124.421245
307,35,5,50,40.06066,-124.421245
308,35,5,sfc,40.06066,-124.421245
309,35,5,sfc,40.06066,-124.421245
310,35,7,500,40.06181,-124.6436167
311,35,7,500,40.06181,-124.6436167
312,35,7,300,40.06181,-124.6436167
313,35,7,300,40.06181,-124.6436167
314,35,7,150,40.06181,-124.6436167
315,35,7,150,40.06181,-124.6436167
316,35,7,100,40.06181,-124.6436167
317,35,7,100,40.06181,-124.6436167
318,35,7,50,40.06181,-124.6436167
319,35,7,50,40.06181,-124.6436167
320,35,7,sfc,40.06181,-124.6436167
321,35,7,sfc,40.06181,-124.6436167
322,35,9,500,40.06103167,-124.85885
323,35,9,500,40.06103167,-124.85885
324,35,9,300,40.06103167,-124.85885
325,35,9,300,40.06103167,-124.85885
326,35,9,150,40.06103167,-124.85885
327,35,9,150,40.06103167,-124.85885
328,35,9,100,40.06103167,-124.85885
329,35,9,100,40.06103167,-124.85885
330,35,9,50,40.06103167,-124.85885
331,35,9,50,40.06103167,-124.85885
332,35,9,sfc,40.06103167,-124.85885
333,35,9,sfc,40.06103167,-124.85885
334,35,11,500,40.06377,-125.0781317
335,35,11,500,40.06377,-125.0781317
336,35,11,300,40.06377,-125.0781317
337,35,11,300,40.06377,-125.0781317
338,35,11,150,40.06377,-125.0781317
339,35,11,150,40.06377,-125.0781317
340,35,11,100,40.06377,-125.0781317
341,35,11,100,40.06377,-125.0781317
342,35,11,50,40.06377,-125.0781317
343,35,11,50,40.06377,-125.0781317
344,35,11,sfc,40.06377,-125.0781317
345,35,11,sfc,40.06377,-125.0781317
456,39,1,42,40.72985,-124.3734867
457,39,1,42,40.72985,-124.3734867
458,39,1,25,40.72985,-124.3734867
459,39,1,25,40.72985,-124.3734867
460,39,1,sfc,40.72985,-124.3734867
461,39,1,sfc,40.72985,-124.3734867
462,39,1,sfc,40.72985,-124.3734867
463,39,1,sfc,40.72985,-124.3734867
464,39,2,142,40.73203833,-124.4885933
465,39,2,142,40.73203833,-124.4885933
466,39,2,100,40.73203833,-124.4885933
467,39,2,100,40.73203833,-124.4885933
468,39,2,50,40.73203833,-124.4885933
469,39,2,50,40.73203833,-124.4885933
470,39,2,sfc,40.73203833,-124.4885933
471,39,2,sfc,40.73203833,-124.4885933
472,39,4,300,40.72983833,-124.544465
473,39,4,300,40.72983833,-124.544465
474,39,4,150,40.72983833,-124.544465
475,39,4,150,40.72983833,-124.544465
476,39,4,100,40.72983833,-124.544465
477,39,4,100,40.72983833,-124.544465
478,39,5,500,40.73091833,-124.6617817
479,39,5,500,40.73091833,-124.6617817
480,39,5,300,40.73091833,-124.6617817
481,39,5,300,40.73091833,-124.6617817
482,39,5,150,40.73091833,-124.6617817
483,39,5,150,40.73091833,-124.6617817
484,39,5,100,40.73091833,-124.6617817
485,39,5,100,40.73091833,-124.6617817
486,39,5,50,40.73091833,-124.6617817
487,39,5,50,40.73091833,-124.6617817
488,39,5,sfc,40.73091833,-124.6617817
489,39,5,sfc,40.73091833,-124.6617817
490,39,7,500,40.73095167,-124.8794483
491,39,7,500,40.73095167,-124.8794483
492,39,7,300,40.73095167,-124.8794483
493,39,7,300,40.73095167,-124.8794483
494,39,7,150,40.73095167,-124.8794483
495,39,7,150,40.73095167,-124.8794483
496,39,7,100,40.73095167,-124.8794483
497,39,7,100,40.73095167,-124.8794483
498,39,7,50,40.73095167,-124.8794483
499,39,7,50,40.73095167,-124.8794483
500,39,7,sfc,40.73095167,-124.8794483
501,39,7,sfc,40.73095167,-124.8794483
502,39,9,500,40.72901667,-125.1001667
503,39,9,500,40.72901667,-125.1001667
504,39,9,300,40.72901667,-125.1001667
505,39,9,300,40.72901667,-125.1001667
506,39,9,150,40.72901667,-125.1001667
507,39,9,150,40.72901667,-125.1001667
508,39,9,100,40.72901667,-125.1001667
509,39,9,100,40.72901667,-125.1001667
510,39,9,50,40.72901667,-125.1001667
511,39,9,50,40.72901667,-125.1001667
512,39,9,sfc,40.72901667,-125.1001667
513,39,9,sfc,40.72901667,-125.1001667
779,53,1,40,43.06397667,-124.480865
780,53,1,40,43.06397667,-124.480865
781,53,1,25,43.06397667,-124.480865
782,53,1,25,43.06397667,-124.480865
783,53,1,sfc,43.06397667,-124.480865
784,53,1,sfc,43.06397667,-124.480865
785,53,2,140,43.06506167,-124.666015
786,53,2,140,43.06506167,-124.666015
787,53,2,100,43.06506167,-124.666015
788,53,2,100,43.06506167,-124.666015
789,53,2,50,43.06506167,-124.666015
790,53,2,50,43.06506167,-124.666015
791,53,2,sfc,43.06506167,-124.666015
792,53,2,sfc,43.06506167,-124.666015
793,53,3,280,43.0648,-124.87498
794,53,3,280,43.0648,-124.87498
795,53,3,150,43.0648,-124.87498
796,53,3,150,43.0648,-124.87498
797,53,3,100,43.0648,-124.87498
798,53,3,100,43.0648,-124.87498
799,53,3,50,43.0648,-124.87498
800,53,3,50,43.0648,-124.87498
801,53,3,sfc,43.0648,-124.87498
802,53,3,sfc,43.0648,-124.87498
803,53,4,491,43.064,-124.9072133
804,53,4,491,43.064,-124.9072133
805,53,4,300,43.064,-124.9072133
806,53,4,300,43.064,-124.9072133
807,53,4,150,43.064,-124.9072133
808,53,4,150,43.064,-124.9072133
809,53,4,100,43.064,-124.9072133
810,53,4,100,43.064,-124.9072133
811,53,4,50,43.064,-124.9072133
812,53,4,50,43.064,-124.9072133
813,53,4,sfc,43.064,-124.9072133
814,53,4,sfc,43.064,-124.9072133
815,53,5,500,43.06363167,-125.0192883
816,53,5,500,43.06363167,-125.0192883
817,53,5,300,43.06363167,-125.0192883
818,53,5,300,43.06363167,-125.0192883
819,53,5,150,43.06363167,-125.0192883
820,53,5,150,43.06363167,-125.0192883
821,53,5,100,43.06363167,-125.0192883
822,53,5,100,43.06363167,-125.0192883
823,53,5,50,43.06363167,-125.0192883
824,53,5,50,43.06363167,-125.0192883
825,53,5,sfc,43.06363167,-125.0192883
826,53,5,sfc,43.06363167,-125.0192883
827,53,6,500,43.063785,-125.1312033
828,53,6,500,43.063785,-125.1312033
829,53,6,300,43.063785,-125.1312033
830,53,6,300,43.063785,-125.1312033
831,53,6,150,43.063785,-125.1312033
832,53,6,150,43.063785,-125.1312033
833,53,6,100,43.063785,-125.1312033
834,53,6,100,43.063785,-125.1312033
835,53,6,50,43.063785,-125.1312033
836,53,6,50,43.063785,-125.1312033
837,53,6,sfc,43.063785,-125.1312033
838,53,6,sfc,43.063785,-125.1312033
839,53,7,500,43.06521333,-125.248965
840,53,7,500,43.06521333,-125.248965
841,53,7,300,43.06521333,-125.248965
842,53,7,300,43.06521333,-125.248965
843,53,7,150,43.06521333,-125.248965
844,53,7,150,43.06521333,-125.248965
845,53,7,100,43.06521333,-125.248965
846,53,7,100,43.06521333,-125.248965
847,53,7,50,43.06521333,-125.248965
848,53,7,50,43.06521333,-125.248965
849,53,7,sfc,43.06521333,-125.248965
850,53,7,sfc,43.06521333,-125.248965
851,53,8,500,43.06469167,-125.2812817
852,53,8,500,43.06469167,-125.2812817
853,53,8,300,43.06469167,-125.2812817
854,53,8,300,43.06469167,-125.2812817
855,53,8,150,43.06469167,-125.2812817
856,53,8,150,43.06469167,-125.2812817
857,53,8,100,43.06469167,-125.2812817
858,53,8,100,43.06469167,-125.2812817
859,53,8,50,43.06469167,-125.2812817
860,53,8,50,43.06469167,-125.2812817
861,53,8,sfc,43.06469167,-125.2812817
862,53,8,sfc,43.06469167,-125.2812817
977,60,4,500,44.23039833,-125.1583233
978,60,4,500,44.23039833,-125.1583233
979,60,4,300,44.23039833,-125.1583233
980,60,4,300,44.23039833,-125.1583233
981,60,4,150,44.23039833,-125.1583233
982,60,4,150,44.23039833,-125.1583233
983,60,4,100,44.23039833,-125.1583233
984,60,4,100,44.23039833,-125.1583233
985,60,4,50,44.23039833,-125.1583233
986,60,4,50,44.23039833,-125.1583233
987,60,4,sfc,44.23039833,-125.1583233
988,60,4,sfc,44.23039833,-125.1583233
989,60,3,100,44.22894667,-124.8861783
990,60,3,100,44.22894667,-124.8861783
991,60,3,50,44.22894667,-124.8861783
992,60,3,50,44.22894667,-124.8861783
993,60,3,sfc,44.22894667,-124.8861783
994,60,3,sfc,44.22894667,-124.8861783
995,60,2,86,44.23054833,-124.5392983
996,60,2,86,44.23054833,-124.5392983
997,60,2,50,44.23054833,-124.5392983
998,60,2,50,44.23054833,-124.5392983
999,60,2,sfc,44.23054833,-124.5392983
1000,60,2,sfc,44.23054833,-124.5392983
1001,60,1,60,44.23212833,-124.247595
1002,60,1,60,44.23212833,-124.247595
1003,60,1,50,44.23212833,-124.247595
1004,60,1,50,44.23212833,-124.247595
1005,60,1,25,44.23212833,-124.247595
1006,60,1,25,44.23212833,-124.247595
1007,60,1,sfc,44.23212833,-124.247595
1008,60,1,sfc,44.23212833,-124.247595
1205,67,1,45,45.39631833,-124.0406283
1206,67,1,45,45.39631833,-124.0406283
1207,67,1,25,45.39631833,-124.0406283
1208,67,1,25,45.39631833,-124.0406283
1209,67,1,sfc,45.39631833,-124.0406283
1210,67,1,sfc,45.39631833,-124.0406283
1211,67,2,140,45.39731667,-124.21765
1212,67,2,140,45.39731667,-124.21765
1213,67,2,100,45.39731667,-124.21765
1214,67,2,100,45.39731667,-124.21765
1215,67,2,50,45.39731667,-124.21765
1216,67,2,50,45.39731667,-124.21765
1217,67,2,sfc,45.39731667,-124.21765
1218,67,2,sfc,45.39731667,-124.21765
1219,67,3,291,45.39612167,-124.4226133
1220,67,3,291,45.39612167,-124.4226133
1221,67,3,150,45.39612167,-124.4226133
1222,67,3,150,45.39612167,-124.4226133
1223,67,3,100,45.39612167,-124.4226133
1224,67,3,100,45.39612167,-124.4226133
1225,67,3,50,45.39612167,-124.4226133
1226,67,3,50,45.39612167,-124.4226133
1227,67,3,sfc,45.39612167,-124.4226133
1228,67,3,sfc,45.39612167,-124.4226133
1229,67,4,485,45.39651833,-124.70627
1230,67,4,485,45.39651833,-124.70627
1231,67,4,300,45.39651833,-124.70627
1232,67,4,300,45.39651833,-124.70627
1233,67,4,150,45.39651833,-124.70627
1234,67,4,150,45.39651833,-124.70627
1235,67,4,100,45.39651833,-124.70627
1236,67,4,100,45.39651833,-124.70627
1237,67,4,50,45.39651833,-124.70627
1238,67,4,50,45.39651833,-124.70627
1239,67,4,sfc,45.39651833,-124.70627
1240,67,4,sfc,45.39651833,-124.70627
1241,67,5,500,45.39821167,-124.8227467
1242,67,5,500,45.39821167,-124.8227467
1243,67,5,300,45.39821167,-124.8227467
1244,67,5,300,45.39821167,-124.8227467
1245,67,5,150,45.39821167,-124.8227467
1246,67,5,150,45.39821167,-124.8227467
1247,67,5,100,45.39821167,-124.8227467
1248,67,5,100,45.39821167,-124.8227467
1249,67,5,50,45.39821167,-124.8227467
1250,67,5,50,45.39821167,-124.8227467
1251,67,5,sfc,45.39821167,-124.8227467
1252,67,5,sfc,45.39821167,-124.8227467
1253,67,6,500,45.39852333,-124.9396417
1254,67,6,500,45.39852333,-124.9396417
1255,67,6,300,45.39852333,-124.9396417
1256,67,6,300,45.39852333,-124.9396417
1257,67,6,150,45.39852333,-124.9396417
1258,67,6,150,45.39852333,-124.9396417
1259,67,6,100,45.39852333,-124.9396417
1260,67,6,100,45.39852333,-124.9396417
1261,67,6,50,45.39852333,-124.9396417
1262,67,6,50,45.39852333,-124.9396417
1263,67,6,sfc,45.39852333,-124.9396417
1264,67,6,sfc,45.39852333,-124.9396417
1265,67,7,500,45.398275,-125.0283033
1266,67,7,500,45.398275,-125.0283033
1267,67,7,300,45.398275,-125.0283033
1268,67,7,300,45.398275,-125.0283033
1269,67,7,150,45.398275,-125.0283033
1270,67,7,150,45.398275,-125.0283033
1271,67,7,100,45.398275,-125.0283033
1272,67,7,100,45.398275,-125.0283033
1273,67,7,50,45.398275,-125.0283033
1274,67,7,50,45.398275,-125.0283033
1275,67,7,sfc,45.398275,-125.0283033
1276,67,7,sfc,45.398275,-125.0283033
1535,77,1,sfc,47.063255,-124.396465
1536,77,1,sfc,47.063255,-124.396465
1537,77,1,50,47.063255,-124.396465
1538,77,1,50,47.063255,-124.396465
1539,77,1,25,47.063255,-124.396465
1540,77,1,25,47.063255,-124.396465
1541,77,2,sfc,47.06391667,-124.8705967
1542,77,2,sfc,47.06391667,-124.8705967
1543,77,2,143,47.06391667,-124.8705967
1544,77,2,143,47.06391667,-124.8705967
1545,77,2,100,47.06391667,-124.8705967
1546,77,2,100,47.06391667,-124.8705967
1547,77,2,50,47.06391667,-124.8705967
1548,77,2,50,47.06391667,-124.8705967
1549,77,4,sfc,47.06398,-124.9667317
1550,77,4,sfc,47.06398,-124.9667317
1551,77,4,500,47.06398,-124.9667317
1552,77,4,500,47.06398,-124.9667317
1553,77,4,300,47.06398,-124.9667317
1554,77,4,300,47.06398,-124.9667317
1555,77,4,150,47.06398,-124.9667317
1556,77,4,150,47.06398,-124.9667317
1557,77,4,100,47.06398,-124.9667317
1558,77,4,100,47.06398,-124.9667317
1559,77,4,50,47.06398,-124.9667317
1560,77,4,50,47.06398,-124.9667317
1561,77,5,sfc,47.06470333,-125.0875867
1562,77,5,sfc,47.06470333,-125.0875867
1563,77,5,500,47.06470333,-125.0875867
1564,77,5,500,47.06470333,-125.0875867
1565,77,5,300,47.06470333,-125.0875867
1566,77,5,300,47.06470333,-125.0875867
1567,77,5,150,47.06470333,-125.0875867
1568,77,5,150,47.06470333,-125.0875867
1569,77,5,100,47.06470333,-125.0875867
1570,77,5,100,47.06470333,-125.0875867
1571,77,5,50,47.06470333,-125.0875867
1572,77,5,50,47.06470333,-125.0875867
1573,77,6,sfc,47.06442,-125.2157667
1574,77,6,sfc,47.06442,-125.2157667
1575,77,6,500,47.06442,-125.2157667
1576,77,6,500,47.06442,-125.2157667
1577,77,6,300,47.06442,-125.2157667
1578,77,6,300,47.06442,-125.2157667
1579,77,6,150,47.06442,-125.2157667
1580,77,6,150,47.06442,-125.2157667
1581,77,6,100,47.06442,-125.2157667
1582,77,6,100,47.06442,-125.2157667
1583,77,6,50,47.06442,-125.2157667
1584,77,6,50,47.06442,-125.2157667
1706,77,MT505,sfc,NA,NA
1707,77,MT505,sfc,NA,NA
1708,77,MT505,500,NA,NA
1709,77,MT505,500,NA,NA
1710,77,MT505,300,NA,NA
1711,77,MT505,300,NA,NA
1712,77,MT505,150,NA,NA
1713,77,MT505,150,NA,NA
1714,77,MT505,100,NA,NA
1715,77,MT505,100,NA,NA
1716,77,MT505,50,NA,NA
1717,77,MT505,50,NA,NA
1719,81,1,sfc,47.72953333,-124.680385
1720,81,1,sfc,47.72953333,-124.680385
1721,81,1,48,47.72953333,-124.680385
1722,81,1,48,47.72953333,-124.680385
1723,81,1,25,47.72953333,-124.680385
1724,81,1,25,47.72953333,-124.680385
1725,81,1,3,47.72953333,-124.680385
1726,81,1,3,47.72953333,-124.680385
1727,81,2,NA,47.730645,-125.023395
1728,81,2,NA,47.730645,-125.023395
1729,81,2,145,47.730645,-125.023395
1730,81,2,145,47.730645,-125.023395
1731,81,2,100,47.730645,-125.023395
1732,81,2,100,47.730645,-125.023395
1733,81,2,50,47.730645,-125.023395
1734,81,2,50,47.730645,-125.023395
1735,81,3,NA,47.73076667,-125.1019
1736,81,3,NA,47.73076667,-125.1019
1737,81,3,300,47.73076667,-125.1019
1738,81,3,300,47.73076667,-125.1019
1739,81,3,150,47.73076667,-125.1019
1740,81,3,150,47.73076667,-125.1019
1741,81,3,100,47.73076667,-125.1019
1742,81,3,100,47.73076667,-125.1019
1743,81,3,50,47.73076667,-125.1019
1744,81,3,50,47.73076667,-125.1019
1745,81,5,sfc,47.73109333,-125.2471967
1746,81,5,sfc,47.73109333,-125.2471967
1747,81,5,500,47.73109333,-125.2471967
1748,81,5,500,47.73109333,-125.2471967
1749,81,5,300,47.73109333,-125.2471967
1750,81,5,300,47.73109333,-125.2471967
1751,81,5,150,47.73109333,-125.2471967
1752,81,5,150,47.73109333,-125.2471967
1753,81,5,100,47.73109333,-125.2471967
1754,81,5,100,47.73109333,-125.2471967
1755,81,5,50,47.73109333,-125.2471967
1756,81,5,50,47.73109333,-125.2471967
1757,81,7,sfc,47.73018833,-125.4914633
1758,81,7,sfc,47.73018833,-125.4914633
1759,81,7,500,47.73018833,-125.4914633
1760,81,7,500,47.73018833,-125.4914633
1761,81,7,300,47.73018833,-125.4914633
1762,81,7,300,47.73018833,-125.4914633
1763,81,7,150,47.73018833,-125.4914633
1764,81,7,150,47.73018833,-125.4914633
1765,81,7,100,47.73018833,-125.4914633
1766,81,7,100,47.73018833,-125.4914633
1767,81,7,50,47.73018833,-125.4914633
1768,81,7,50,47.73018833,-125.4914633
1769,81,9,sfc,47.73233,-125.742555
1770,81,9,sfc,47.73233,-125.742555
1771,81,9,500,47.73233,-125.742555
1772,81,9,500,47.73233,-125.742555
1773,81,9,300,47.73233,-125.742555
1774,81,9,300,47.73233,-125.742555
1775,81,9,150,47.73233,-125.742555
1776,81,9,150,47.73233,-125.742555
1777,81,9,100,47.73233,-125.742555
1778,81,9,100,47.73233,-125.742555
1779,81,9,50,47.73233,-125.742555
1780,81,9,50,47.73233,-125.742555
