Date UTC,Tube #,CTD cast,Niskin,depth,rep,comments,water.filtered.L,drop.sample,Filter size (un),extraction,hake_copy_1,hake_copy_2,hake_copy_3
7/8/21,277,x13_1500,2,500,1,,2.5,,1,20211101,,,
7/8/21,287,x13_1500,2,500,2,Duplicate Sample,2.5,,1,20211101,,0.434,
7/8/21,278,x13_1500,3,500,1,,2.5,,1,20211101,,,
7/8/21,288,x13_1500,3,500,2,Duplicate Sample,2.5,,1,20211101,,0.321,
7/8/21,279,x13_1500,4,300,1,,2.5,,1,20211101,0.198,0.796,0.473
7/8/21,289,x13_1500,4,300,2,Duplicate Sample,2.5,,1,20211101,2.202,0.8,1.152
7/8/21,280,x13_1500,5,300,1,,2.5,,1,20211101,,,
7/8/21,290,x13_1500,5,300,2,Duplicate Sample,2.5,,1,20211101,,,0.598
7/8/21,283,x13_1500,8,150,1,,2.5,,1,20211101,,0.127,
7/8/21,291,x13_1500,8,150,2,Duplicate Sample,2.5,,1,20211101,0.363,,
7/8/21,284,x13_1500,9,150,1,ST,2.5,,1,20211101,0.377,,0.397
7/8/21,292,x13_1500,9,150,2,Duplicate Sample,2.5,,1,20211101,,0.013,0.339
7/11/21,415,x19_500,2,495,1,,2.5,,1,20211102,17.203,16.654,11.915
7/11/21,425,x19_500,2,495,2,PAL; Duplicate Sample,2.5,,1,20211103,5.368,11.17,7.915
7/11/21,416,x19_500,3,495,1,,2.5,,1,20211102,8.182,5.031,4.117
7/11/21,426,x19_500,3,495,2,PAL; Duplicate Sample,2.5,,1,20211103,3.924,3.97,1.021
7/11/21,417,x19_500,4,300,1,,2.5,,1,20211102,3.198,2.173,4.936
7/11/21,427,x19_500,4,300,2,Duplicate Sample,2.5,,1,20211103,5.43,4.436,6.324
7/11/21,418,x19_500,5,300,1,,2.5,,1,20211102,3.739,6.35,4.236
7/11/21,428,x19_500,5,300,2,Duplicate Sample,2.5,,1,20211103,2.453,3.116,13.357
7/11/21,421,x19_500,8,150,1,PAL,2.5,,1,20211103,9.619,4.21,6.589
7/11/21,429,x19_500,8,150,2,ST; Duplicate Sample,2.5,,1,20211103,4.485,8.175,10.848
7/11/21,422,x19_500,9,150,1,ST,2.5,,1,20211103,15.45,10.36,12.71
7/11/21,430,x19_500,9,150,2,ST; Duplicate Sample,2.5,,1,20211103,5.387,5.298,7.73
7/12/21,435,x21_1500,2,500,1,PAL,2.5,,1,20211103,0.287,0.497,0.481
7/12/21,445,x21_1500,2,500,2,"PAL, Duplicate Sample",2.5,,1,20211103,0.819,0.886,
7/12/21,436,x21_1500,3,500,1,,2.5,,1,20211103,0.531,2.196,0.315
7/12/21,446,x21_1500,3,500,2,"PAL, Duplicate Sample",2.5,,1,20211103,1.62,1.669,4.008
7/12/21,437,x21_1500,4,300,1,,2.5,,1,20211103,0.321,,0.848
7/12/21,447,x21_1500,4,300,2,"PAL, Duplicate Sample",2.5,,1,20211103,,0.591,0.76
7/12/21,438,x21_1500,5,300,1,,2.5,,1,20211103,0.99,1.163,0.56
7/12/21,448,x21_1500,5,300,2,"ST, Duplicate Sample",2.5,,1,20211103,,,0.03
7/12/21,441,x21_1500,8,150,1,ST,2.5,,1,20211103,0.58,0.429,1.819
7/12/21,449,x21_1500,8,150,2,"ST, Duplicate Sample",2.5,,1,20211103,,0.638,
7/12/21,442,x21_1500,9,150,1,ST,2.5,,1,20211103,,2.02,0.086
7/12/21,450,x21_1500,9,150,2,"PAL, Duplicate Sample",2.5,,1,20211103,0.29,1.029,1.308